maj_foreign,maj_race,pct_publictrans,time_travel_workE,med_incomeE,avg_travel_time
FALSE,white,0.006430041152263375,86580,40894,22.26851851851852
FALSE,white,0.04811372334609076,36250,33808,19.81957353745216
FALSE,white,0.02857142857142857,38580,27176,16.452025586353944
FALSE,white,0,13390,44821,17.85333333333333
FALSE,white,0.16838487972508592,52140,16092,14.93127147766323
FALSE,white,0,27935,30137,18.02258064516129
FALSE,white,0.001509206157561123,61975,34416,18.706610322970118
FALSE,white,0.003733486502010339,75580,39544,21.70591614014934
FALSE,white,0,82235,42324,22.874826147426983
FALSE,white,0.011673151750972763,56270,36506,31.278488048916063
FALSE,white,0.0038696537678207738,114785,38993,23.377800407331975
FALSE,white,0.003430531732418525,56830,36393,24.369639794168098
FALSE,white,0.01291248206599713,11580,3828,8.30703012912482
FALSE,white,0.007577609386458079,113745,47751,27.803715472989488
FALSE,white,0,3600,3225,5.4961832061068705
FALSE,white,0.09018105849582173,55815,33604,19.434192200557103
FALSE,white,0.01893491124260355,87405,27191,20.68757396449704
FALSE,no_majority,0.37104072398190047,34830,17930,26.266968325791854
FALSE,no_majority,0.23659003831417624,34120,6568,16.340996168582375
FALSE,white,0.003885381253035454,41840,40363,20.320543953375424
FALSE,white,5.611672278338945e-4,45065,29839,25.289001122334454
FALSE,white,0.02632937532266391,44560,4199,7.668215453450353
FALSE,white,0.05261261261261261,50310,25273,18.12972972972973
FALSE,white,0.01608430393788131,29445,31807,16.331114808652245
FALSE,white,0.03442879499217527,12045,4089,9.424882629107982
FALSE,white,0.020069204152249134,63465,34873,21.96020761245675
FALSE,white,0.041744548286604365,58215,31519,18.135514018691588
FALSE,white,0,89150,31995,29.172120418848166
FALSE,white,0.02402745995423341,4440,3839,5.080091533180778
FALSE,white,0.1261748120300752,59620,17023,14.00845864661654
FALSE,white,0.006728778467908903,41760,35382,21.614906832298136
FALSE,white,0,13580,51803,8.721901091843288
FALSE,white,0.035842293906810034,5910,51727,10.591397849462366
FALSE,white,0,8105,36098,10.233585858585858
FALSE,white,0,36030,40625,10.44953596287703
FALSE,white,0.34966499162479064,60015,52883,25.131909547738694
FALSE,white,0.17195972114639815,30280,31920,23.454686289697907
FALSE,white,0.3291806420699569,44020,40945,21.092477240057498
FALSE,white,0.1755695208169678,76970,50355,30.23173605655931
FALSE,white,0.18662952646239556,61405,63898,28.507428040854226
FALSE,white,0.20085015940488843,46055,45146,24.471307120085015
FALSE,white,0.11439312567132116,48380,64125,25.9828141783029
FALSE,white,0.06697941099817566,84315,49170,21.97419859265051
FALSE,white,0.05862785862785863,91435,22500,19.009355509355508
FALSE,white,0.0479282622139765,81575,51385,25.224180581323438
FALSE,no_majority,0.03413400758533502,118995,30881,30.087231352718078
FALSE,white,0.0320097244732577,79950,55433,32.39465153970826
FALSE,white,0.20776495278069254,48165,56529,25.270199370409234
FALSE,white,0.4119583104772353,48250,71624,26.467361492046077
FALSE,white,0.3835777126099707,45645,56989,26.771260997067447
FALSE,white,0.07979870596693027,75580,72383,27.167505391804458
FALSE,white,0.04602036967182195,75130,77831,28.3402489626556
FALSE,white,0.06148055207026349,17220,24762,21.606022584692596
FALSE,white,0.14224137931034483,142505,50884,24.569827586206898
FALSE,white,0.2806349206349206,35250,59891,22.38095238095238
FALSE,white,0.05418480890179003,47475,45635,22.968069666182874
FALSE,white,0.12689773703809798,94875,43804,27.177026639931253
FALSE,no_majority,0.049773755656108594,48670,30090,27.528280542986426
FALSE,white,0.019482184055370416,104970,36382,26.90848500384517
FALSE,white,0.06463735437805336,71575,48313,26.897782788425403
FALSE,white,0.020054694621695533,69210,42866,31.545123062898814
FALSE,no_majority,0.036741214057507986,39625,26875,21.09957401490948
FALSE,white,0.06457167455876023,77225,68804,33.243650452001724
FALSE,white,0.08340192043895747,89020,42364,24.422496570644718
FALSE,white,0.06744186046511629,107415,34667,27.75581395348837
FALSE,white,0.2747481764501563,65650,18317,22.803056616880863
FALSE,white,0.17765567765567766,27320,63649,25.01831501831502
FALSE,white,0.00808489135927236,123750,44949,31.26579080343608
FALSE,white,0.017283097131005877,81695,35315,28.238852402350503
FALSE,white,0.04860335195530726,119470,42474,33.37150837988827
FALSE,white,0.0688547984302533,94975,34658,33.88333927934356
FALSE,white,0.015862524785194978,74150,20101,24.504296100462657
FALSE,white,0,29195,24857,21.14047791455467
FALSE,white,0.06602641056422569,16220,16900,19.471788715486195
FALSE,white,0,40215,19701,27.28290366350068
FALSE,white,0.003257328990228013,52755,37194,21.480048859934854
FALSE,white,0.011699327288680901,80695,38072,23.601930389002632
FALSE,white,0.003763440860215054,41635,23057,22.384408602150536
FALSE,white,0.026138909634055265,29680,22500,22.165795369678865
